CppMemTotal:                         	  252.964688 MB 	  325.375000 MB
CIDMapMallocObject                   	    0.208983 MB 	    0.250000 MB
CAudioMallocObject                   	    0.343535 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002970 MB 	    0.062500 MB
CFindPathMallocObject                	    2.485798 MB 	    2.625000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
SQRGuiMallocObject                   	   16.646090 MB 	   19.187500 MB
CFXMallocObject                      	    0.000496 MB 	    0.062500 MB
CConfigMallocObject                  	    8.581702 MB 	    9.437500 MB
CGraphicMallocObject                 	   53.896538 MB 	   55.687500 MB
CScriptMallocObject                  	    1.203421 MB 	    1.500000 MB
CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.000000 MB 	    0.000000 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	    9.953348 MB 	   19.312500 MB
CCfgCalcMallocObject                 	   24.434539 MB 	   26.125000 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.017375 MB 	    0.250000 MB
CValueMallocObject                   	    0.344845 MB 	    0.437500 MB
CSceneMallocObject                   	   19.768463 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CDataFileMallocObject                	   38.622479 MB 	   43.937500 MB
CCypherVariantMallocObject           	    0.046770 MB 	    0.062500 MB
CVariantMallocObject                 	    0.034795 MB 	    0.062500 MB
CTickMallocObject                    	    0.064966 MB 	    0.125000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    6.846519 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
CFighterMallocObject                 	    0.028227 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001138 MB 	    0.062500 MB
CTrMsgMallocObject                   	    0.000000 MB 	    0.000000 MB
CLogMallocObject                     	    0.000927 MB 	    0.125000 MB
CCoreObjMallocObject                 	    0.001236 MB 	    0.062500 MB
CCoreMsgMallocObject                 	    0.009837 MB 	    0.312500 MB
CConnMallocObject                    	    0.000413 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000881 MB 	    0.062500 MB
CMetaSceneMallocObject               	    0.001120 MB 	    0.062500 MB
CScriptPoolObject1                   	   47.396955 MB 	   94.312500 MB

CppMemTotal:                         	  286.931624 MB 	  358.000000 MB
CIDMapMallocObject                   	    0.223051 MB 	    0.312500 MB
CAudioMallocObject                   	    0.343647 MB 	    0.375000 MB
CMsgMallocObject                     	    0.005157 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.002469 MB 	    0.062500 MB
CFindPathMallocObject                	   13.486829 MB 	   13.687500 MB
CPTREFMallocObject                   	    0.000102 MB 	    0.062500 MB
SQRGuiMallocObject                   	   22.193893 MB 	   23.875000 MB
CFXMallocObject                      	    0.004799 MB 	    0.062500 MB
CConfigMallocObject                  	    8.581702 MB 	    9.437500 MB
CGraphicMallocObject                 	   68.677261 MB 	   70.562500 MB
CScriptMallocObject                  	    1.204522 MB 	    1.500000 MB
CConnMsgMallocObject                 	    0.000176 MB 	    0.062500 MB
CEntityMallocObject                  	    0.016657 MB 	    0.062500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
GlobalPool                           	   10.439502 MB 	   19.312500 MB
CCfgCalcMallocObject                 	   24.500138 MB 	   26.187500 MB
CMagicStateMallocObject              	    0.007105 MB 	    0.062500 MB
CActorMallocObject                   	    0.006422 MB 	    0.062500 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CNetworkMallocObject                 	    0.001094 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    2.004550 MB 	    2.125000 MB
CNetworkSendBufferMallocObject       	    0.003978 MB 	    0.062500 MB
CMathMallocObject                    	    0.019352 MB 	    0.250000 MB
CValueMallocObject                   	    0.359975 MB 	    0.437500 MB
CSceneMallocObject                   	   19.783806 MB 	   20.187500 MB
CPtCORMallocObject                   	    0.005288 MB 	    0.062500 MB
CDataFileMallocObject                	   40.546615 MB 	   45.812500 MB
CCypherVariantMallocObject           	    0.123981 MB 	    0.187500 MB
CVariantMallocObject                 	    0.039189 MB 	    0.062500 MB
CTickMallocObject                    	    0.182084 MB 	    0.250000 MB
CBloodRenderMallocObject             	    0.005285 MB 	    0.062500 MB
CEffectMallocObject                  	    2.658969 MB 	    8.000000 MB
CBakeMallocObject                    	   20.000082 MB 	   20.125000 MB
