07-18 10:42:42 CppMemTotal:                         	  157.598127 MB 	  261.562500 MB
GlobalPool                           	    0.203071 MB 	    0.625000 MB
CFighterMallocObject                 	    0.000120 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.000000 MB 	    0.000000 MB
CConfigMallocObject                  	    0.009974 MB 	    0.062500 MB
CEntityMallocObject                  	    0.003346 MB 	    0.062500 MB
CConnMallocObject                    	    0.000240 MB 	    0.062500 MB
CMsgMallocObject                     	    0.001295 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.201635 MB 	    0.312500 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.625000 MB
CDataFileMallocObject                	   25.441711 MB 	   32.312500 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
CVariantMallocObject                 	    0.000202 MB 	    0.062500 MB
CLogMallocObject                     	    0.000899 MB 	    0.125000 MB
CTickMallocObject                    	    0.075917 MB 	    0.187500 MB
CMagicMallocObject                   	    0.000000 MB 	    0.000000 MB
CCfgCalcMallocObject                 	    0.005889 MB 	    0.062500 MB
CMagicStateMallocObject              	    0.000000 MB 	    0.000000 MB
CConnMsgMallocObject                 	    0.000000 MB 	    0.000000 MB
CServantMallocObject                 	    0.000000 MB 	    0.000000 MB
CActorMallocObject                   	    0.000000 MB 	    0.000000 MB
CMtDbMallocObject                    	    0.000639 MB 	    0.125000 MB
CMirrorMallocObject                  	    8.016025 MB 	    9.062500 MB
CMegaLogMallocObject                 	    0.000464 MB 	    0.125000 MB
CQuadMallocObject                    	    0.000295 MB 	    0.062500 MB
CDbMallocObject                      	    0.000325 MB 	    0.187500 MB
CNetworkMallocObject                 	    0.007266 MB 	    0.062500 MB
CNetworkRecvBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CNetworkSendBufferMallocObject       	    0.000000 MB 	    0.000000 MB
CCoreObjMallocObject                 	    0.000000 MB 	    0.000000 MB
CMetaSceneMallocObject               	    0.000101 MB 	    0.062500 MB
CScriptPoolObject1                   	   31.410579 MB 	   63.000000 MB
CScriptPoolObject2                   	   27.173282 MB 	   57.000000 MB
CScriptPoolObject3                   	   27.173282 MB 	   57.000000 MB
CNpcAIDataMallocObject               	    0.000124 MB 	    0.062500 MB
CNpcAIMallocObject                   	    0.000113 MB 	    0.062500 MB
CPtMQMallocObject                    	    0.001036 MB 	    0.062500 MB
CFindPathMallocObject                	    0.000000 MB 	    0.000000 MB
CCoreMsgMallocObject                 	    0.019674 MB 	    0.062500 MB
CScriptMallocObject                  	    0.675870 MB 	    0.875000 MB
CPtCORMallocObject                   	    0.000000 MB 	    0.000000 MB
CPTREFMallocObject                   	    0.000000 MB 	    0.000000 MB
CIDMapMallocObject                   	    0.001065 MB 	    0.062500 MB

07-18 10:42:52 CppMemTotal:                         	  256.921449 MB 	  360.437500 MB
GlobalPool                           	    6.112512 MB 	    7.687500 MB
CFighterMallocObject                 	    0.027719 MB 	    0.062500 MB
CCastingProcessMallocObject          	    0.061019 MB 	    0.125000 MB
CConfigMallocObject                  	    9.965746 MB 	   11.375000 MB
CEntityMallocObject                  	    0.003459 MB 	    0.062500 MB
CConnMallocObject                    	    0.000443 MB 	    0.062500 MB
CMsgMallocObject                     	    0.002202 MB 	    0.062500 MB
CCoreSceneMallocObject               	    0.000093 MB 	    0.062500 MB
CDistortedTimeMallocObject           	    0.000000 MB 	    0.000000 MB
CMathMallocObject                    	    0.000000 MB 	    0.000000 MB
CValueMallocObject                   	    0.374654 MB 	    0.500000 MB
CTrMsgMallocObject                   	   37.173594 MB 	   39.625000 MB
CDataFileMallocObject                	   32.475961 MB 	   40.125000 MB
CCypherVariantMallocObject           	    0.000000 MB 	    0.000000 MB
