逻辑线程CppTick数量: 6		逻辑线程LuaTick数量: 132		引擎线程Tick数量: 4
逻辑线程CppTick数量: 7		逻辑线程LuaTick数量: 131		引擎线程Tick数量: 5
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 57		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 5
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 56		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
逻辑线程CppTick数量: 67		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 9
逻辑线程CppTick数量: 55		逻辑线程LuaTick数量: 134		引擎线程Tick数量: 6
